time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
9.203,,5505000,1353000,1686000,1048000,482000,6358000,222000,0,8000,11000,72000,70000,2416000,5544000,7960000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.5116,126.8366,123.35
9.404,,4956000,1073000,1496000,1863000,838000,6358000,210000,0,8000,11000,70000,72000,2397000,4951000,7348000,25000000,127.4,124.7,97.88,120.3116,126.3866,123.8,118.4,126.8366,123.35
9.604,,4956000,1050000,1449000,1854000,105000,6358000,210000,0,8000,11000,70000,70000,2604000,7485000,10089000,25000000,127.4,124.7,97.88,120.3116,126.3866,123.8,118.4,126.8366,123.35
9.803,,4956000,1198000,1948000,899000,880000,5840000,214000,0,8000,11000,70000,70000,2394000,4592000,6986000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.4,126.8366,123.35
10.004,,4694000,1251000,1686000,814000,833000,5840000,214000,10000,38000,4000,72000,70000,2377000,4847000,7224000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.4,126.8366,123.35
10.204,,4694000,1028000,1805000,1320000,858000,5840000,214000,10000,38000,7000,70000,70000,2393000,4900000,7293000,25000000,127.4,125.15,97.88,120.3116,126.3866,123.8,118.4,126.8366,123.35
10.405,,4694000,1273000,1449000,995000,845000,5814000,226000,10000,38000,4000,72000,70000,2407000,5192000,7599000,25000000,127.4,125.15,97.88,120.3116,126.275,123.8,118.4,126.8366,123.35
10.604,,4761000,1140000,1829000,1169000,105000,5814000,226000,10000,38000,4000,72000,70000,2599000,5302000,7901000,25000000,127.4,125.15,97.88,120.3116,126.275,123.8,118.4,126.8366,123.35
10.804,,4761000,1251000,1639000,1613000,3311000,5814000,226000,0,8000,4000,70000,70000,2425000,5370000,7795000,25000000,127.4,124.7,97.88,120.3116,126.275,123.8,118.4,126.8366,123.35
11.005,,4761000,1251000,1530000,863000,894000,6116000,238000,0,8000,4000,70000,72000,2439000,5023000,7462000,25000000,127.4,124.7,97.88,120.3116,126.275,123.8,118.4,126.8366,123.35
11.203,,5121000,1487000,1496000,755000,858000,6116000,238000,0,8000,11000,70000,70000,2402000,5737000,8139000,25000000,127.4,125.15,97.88,120.3116,126.275,123.8,118.4,126.8366,123.35
11.404,,5121000,1408000,1663000,751000,858000,6116000,238000,0,8000,11000,72000,70000,2414000,9800000,12214000,25000000,127.4,125.15,97.88,120.3116,126.275,123.6866,118.4,126.8366,123.2366
11.604,,5121000,1207000,1411000,856000,3331000,6502000,226000,0,8000,11000,70000,70000,2444000,5668000,8112000,25000000,127.4,124.7,97.88,120.3116,126.275,123.6866,118.4,126.8366,123.2366
11.803,,5432000,1642000,1663000,949000,2499000,6502000,226000,0,8000,11000,90000,72000,2430000,5521000,7951000,25000000,127.4,124.7,97.88,120.3116,126.275,123.6866,118.4,126.8366,123.2366
12.004,,5432000,1531000,1449000,1190000,880000,6502000,226000,10000,38000,4000,70000,72000,2422000,9322000,11744000,25000000,127.4,124.7,97.88,120.3116,126.275,123.6866,118.4,126.8366,123.2366
12.204,,4944000,1487000,1544000,1008000,858000,5913000,232000,10000,38000,4000,70000,70000,2428000,4666000,7094000,25000000,127.4,125.15,97.88,120.3116,126.275,123.6866,118.4,126.8366,123.2366
12.404,,4944000,1487000,1568000,1048000,105000,5913000,232000,10000,38000,4000,70000,72000,2490000,7359000,9849000,25000000,127.4,124.7,97.88,120.3116,126.1616,123.6866,118.4,126.725,123.2366
12.604,,4944000,1398000,1663000,1734000,105000,6544000,232000,10000,38000,4000,70000,70000,2538000,4509000,7047000,25000000,127.4,125.15,97.88,120.3116,126.1616,123.6866,118.4,126.725,123.2366
12.803,,5399000,1296000,1971000,1492000,105000,6544000,217000,0,8000,11000,70000,70000,2584000,4823000,7407000,25000000,127.4,125.15,97.88,120.3116,126.1616,123.6866,118.4,126.725,123.2366
13.003,,5399000,1363000,1805000,1250000,105000,6544000,217000,0,8000,11000,70000,72000,2725000,4450000,7175000,25000000,127.4,125.15,97.88,120.3116,126.1616,123.6866,118.4,126.725,123.2366
13.204,,5399000,1273000,1758000,1371000,104000,6648000,217000,0,8000,11000,70000,72000,2631000,4803000,7434000,25000000,127.4,125.15,97.88,120.3116,126.1616,123.6866,118.4,126.725,123.2366
13.403,,5539000,1251000,1615000,1391000,880000,6648000,219000,0,8000,11000,70000,72000,2639000,4419000,7058000,25000000,127.4,125.15,97.88,120.3116,126.1616,123.6866,118.4,126.725,123.2366
13.604,,5539000,1376000,1315000,1754000,105000,6648000,219000,0,8000,7000,70000,70000,2707000,4109000,6816000,25000000,127.4,125.15,97.88,120.3116,126.1616,123.6866,118.4,126.725,123.2366
13.804,,5539000,1318000,1995000,1391000,838000,6714000,219000,0,8000,11000,70000,70000,2627000,4176000,6803000,25000000,127.4,125.15,97.88,120.3116,126.1616,123.6866,118.4,126.725,123.2366
14.005,,5466000,1296000,1544000,1880000,880000,6714000,237000,0,8000,11000,70000,70000,2675000,4188000,6863000,25000000,127.4,124.7,97.88,120.3116,126.1616,123.6866,118.4,126.725,123.2366
