time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
10.002,,5704000,1442000,1306000,1284000,105000,6320000,247000,10000,78000,4000,70000,65000,2631000,7018000,9649000,25000000,116.6,118.4,75.38,109.4,116.375,114.125,106.475,116.375,112.8866
10.202,,5704000,1509000,1259000,1306000,2579000,6336000,247000,0,32000,4000,70000,68000,2647000,8800000,11447000,25000000,116.6,118.4,75.38,109.4,116.375,114.125,106.475,116.375,112.8866
10.403,,5688000,1531000,1853000,2355000,105000,6336000,192000,0,32000,4000,70000,65000,2658000,10421000,13079000,25000000,116.6,118.4,75.38,109.5116,116.4866,114.2366,106.5866,116.375,113
10.603,,5688000,1207000,1339000,1129000,105000,6336000,192000,10000,32000,4000,70000,68000,2603000,8791000,11394000,25000000,116.6,118.4,75.38,109.5116,116.4866,114.2366,106.5866,116.375,113
10.803,,5688000,1386000,1330000,1969000,105000,6479000,191000,10000,78000,4000,74000,65000,2687000,9816000,12503000,25000000,116.6,118.85,75.38,109.5116,116.4866,114.2366,106.5866,116.375,113
11.003,,5658000,1430000,1315000,751000,1883000,6479000,191000,0,32000,4000,70000,65000,2642000,9493000,12135000,25000000,116.6,118.4,75.38,109.5116,116.4866,114.2366,106.5866,116.375,113
11.204,,5658000,1430000,1324000,948000,1740000,6479000,191000,0,32000,4000,70000,65000,2547000,5487000,8034000,25000000,116.6,118.4,75.38,109.5116,116.4866,114.2366,106.5866,116.375,113
11.402,,5658000,1497000,1267000,975000,1829000,6486000,184000,0,30000,4000,70000,65000,2488000,5426000,7914000,25000000,116.6,118.85,75.38,109.625,116.6,114.4616,106.7,116.4866,113.1116
11.602,,5609000,1296000,1626000,1200000,1829000,6486000,184000,0,5000,7000,70000,65000,2517000,5065000,7582000,25000000,116.6,118.4,75.38,109.625,116.6,114.4616,106.7,116.4866,113.1116
11.803,,5609000,1398000,1710000,746000,2458000,6486000,184000,0,5000,4000,70000,68000,2499000,4982000,7481000,25000000,116.6,118.4,75.38,109.625,116.6,114.4616,106.7,116.4866,113.1116
12.003,,5609000,1420000,1710000,1552000,2336000,6471000,215000,0,5000,4000,70000,65000,2516000,5394000,7910000,25000000,116.6,118.4,75.38,109.625,116.6,114.4616,106.7,116.4866,113.1116
12.203,,5725000,1408000,1615000,751000,5119000,6471000,215000,0,5000,11000,70000,65000,2556000,5344000,7900000,25000000,116.6,118.4,75.38,109.625,116.6,114.4616,106.7,116.4866,113.1116
12.404,,5725000,2130000,1330000,1250000,335000,6471000,215000,0,5000,11000,70000,68000,2523000,5527000,8050000,25000000,116.6,118.4,75.38,109.7366,116.7116,114.4616,106.7,116.6,113.1116
12.602,,5688000,1664000,1315000,975000,105000,6437000,192000,0,5000,11000,70000,65000,2571000,5158000,7729000,25000000,116.6,118.4,75.38,109.7366,116.7116,114.4616,106.7,116.6,113.1116
12.803,,5688000,2219000,1315000,1016000,105000,6437000,192000,0,5000,7000,70000,65000,2516000,5263000,7779000,25000000,116.6,118.4,75.38,109.7366,116.7116,114.4616,106.7,116.6,113.1116
13.003,,5688000,1664000,1781000,880000,105000,6437000,192000,0,5000,4000,70000,68000,2542000,5212000,7754000,25000000,116.6,118.4,75.38,109.7366,116.7116,114.4616,106.7,116.6,113.1116
13.202,,5713000,2263000,1758000,1129000,330000,6420000,197000,0,5000,4000,70000,65000,2542000,5373000,7915000,25000000,116.6,118.4,75.38,109.7366,116.7116,114.4616,106.7,116.6,113.1116
13.403,,5713000,2263000,1805000,731000,4306000,6420000,197000,10000,78000,0,74000,68000,2519000,5481000,8000000,25000000,116.6,118.4,75.38,109.7366,116.6,114.4616,106.8116,116.6,113.1116
13.603,,5713000,2352000,1227000,1360000,4225000,6420000,197000,0,32000,4000,70000,65000,2521000,5125000,7646000,25000000,116.6,118.4,75.38,109.7366,116.6,114.4616,106.8116,116.6,113.1116
13.802,,5740000,2049000,1339000,691000,105000,6437000,208000,0,32000,4000,70000,68000,2574000,5196000,7770000,25000000,116.6,118.4,75.38,109.7366,116.6,114.4616,106.8116,116.6,113.1116
14.002,,5740000,2644000,1568000,1048000,105000,6437000,208000,0,32000,4000,70000,68000,2650000,4534000,7184000,25000000,116.6,117.95,75.38,109.7366,116.6,114.4616,106.8116,116.6,113.1116
14.202,,5740000,2644000,1520000,766000,105000,6388000,208000,0,5000,11000,70000,68000,2714000,4804000,7518000,25000000,116.6,117.95,75.38,109.7366,116.6,114.4616,106.8116,116.6,113.1116
14.402,,5734000,2640000,1506000,1320000,105000,6388000,194000,0,5000,11000,70000,68000,2724000,4835000,7559000,25000000,116.6,118.4,75.38,109.9616,116.6,114.4616,106.8116,116.6,113.225
14.602,,5734000,1975000,1710000,2483000,1401000,6388000,194000,0,5000,4000,74000,68000,2703000,6597000,9300000,25000000,116.6,117.95,75.38,109.9616,116.6,114.4616,106.8116,116.6,113.225
14.802,,5734000,2308000,1686000,1391000,105000,6311000,194000,0,5000,11000,70000,68000,2646000,4767000,7413000,25000000,118.4,118.4,75.38,109.9616,116.6,114.4616,106.8116,116.6,113.225
15.003,,5658000,1797000,1458000,987000,105000,6311000,259000,0,5000,4000,70000,68000,2634000,4973000,7607000,25000000,118.4,118.4,75.38,109.9616,116.6,114.4616,106.8116,116.6,113.225
