time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
14.003,,5557000,1363000,1995000,751000,105000,6607000,259000,0,5000,7000,70000,70000,2547000,9925000,12472000,25000000,125.6,126.95,91.22,117.5,124.25,121.6616,114.9116,124.5866,120.65
14.203,,5792000,1398000,1900000,813000,105000,6607000,259000,0,5000,4000,70000,70000,2551000,9773000,12324000,25000000,125.6,126.95,91.22,117.5,124.25,121.6616,114.9116,124.5866,120.65
14.404,,5792000,2418000,1568000,1431000,105000,6607000,259000,0,5000,4000,70000,70000,2560000,5645000,8205000,25000000,125.6,126.95,91.22,117.5,124.25,121.6616,114.9116,124.5866,120.65
14.603,,5789000,1296000,1900000,806000,105000,6652000,219000,0,5000,4000,70000,70000,2502000,9547000,12049000,25000000,125.6,126.95,91.22,117.5,124.25,121.55,114.9116,124.5866,120.65
14.803,,5789000,1353000,1995000,772000,2722000,6652000,219000,0,8000,4000,74000,70000,2518000,4763000,7281000,25000000,125.6,126.95,91.22,117.5,124.25,121.55,114.9116,124.5866,120.65
15.003,,5789000,1376000,1710000,955000,1912000,6652000,219000,0,5000,7000,77000,68000,2540000,4371000,6911000,25000000,125.6,126.5,91.22,117.5,124.25,121.55,114.9116,124.5866,120.65
15.204,,5768000,1318000,2233000,1713000,1903000,6692000,267000,0,5000,11000,70000,70000,2549000,4049000,6598000,25000000,125.6,126.95,91.22,117.5,124.25,121.55,114.9116,124.5866,120.65
15.404,,5768000,2396000,1520000,975000,1883000,6692000,267000,0,5000,4000,70000,70000,2600000,9089000,11689000,25000000,125.6,126.95,91.22,117.5,124.25,121.55,114.9116,124.5866,120.65
15.604,,5768000,1398000,1639000,766000,2518000,6669000,267000,0,5000,4000,70000,70000,2582000,5509000,8091000,25000000,125.6,126.95,91.22,117.6116,124.25,121.55,114.9116,124.475,120.65
15.803,,5804000,1318000,1710000,751000,105000,6669000,223000,10000,78000,18000,88000,70000,2627000,5811000,8438000,25000000,125.6,126.5,91.22,117.6116,124.25,121.55,114.9116,124.475,120.65
16.003,,5804000,1442000,1948000,751000,5444000,6669000,223000,0,35000,4000,68000,70000,2557000,5014000,7571000,25000000,125.6,126.95,91.22,117.6116,124.25,121.55,114.9116,124.475,120.65
16.202,,5804000,1731000,1473000,1250000,4401000,6523000,223000,0,35000,4000,70000,68000,2467000,4746000,7213000,25000000,125.6,126.5,91.22,117.6116,124.25,121.55,114.9116,124.475,120.65
16.403,,5832000,2530000,1758000,1129000,2190000,6523000,226000,0,35000,4000,70000,70000,2466000,5104000,7570000,25000000,125.6,126.5,91.22,117.6116,124.25,121.55,114.9116,124.475,120.65
16.602,,5832000,1509000,1639000,772000,105000,6523000,226000,0,32000,4000,70000,70000,2589000,3649000,6238000,25000000,125.6,126.5,91.22,117.6116,124.1366,121.55,114.9116,124.475,120.65
16.802,,5832000,1353000,1853000,1109000,105000,6689000,226000,0,5000,4000,68000,70000,2629000,3894000,6523000,25000000,125.6,126.5,91.22,117.6116,124.1366,121.55,114.9116,124.475,120.65
17.003,,5816000,1420000,1758000,1016000,105000,6689000,214000,0,8000,7000,70000,70000,2629000,4234000,6863000,25000000,125.6,126.5,91.22,117.6116,124.1366,121.55,114.9116,124.475,120.65
17.203,,5816000,1442000,1710000,1178000,105000,6689000,214000,10000,81000,4000,70000,70000,2711000,4687000,7398000,25000000,125.6,126.05,91.22,117.6116,124.1366,121.55,114.9116,124.475,120.65
17.402,,5816000,2996000,1615000,1134000,105000,6654000,236000,0,35000,4000,70000,70000,2635000,5671000,8306000,25000000,125.6,126.05,91.22,117.6116,124.1366,121.55,114.9116,124.475,120.65
17.603,,5752000,1620000,1568000,1562000,105000,6654000,236000,0,35000,0,88000,70000,2760000,4586000,7346000,25000000,125.6,126.5,91.22,117.6116,124.1366,121.55,114.9116,124.475,120.65
17.803,,5752000,1620000,1805000,1434000,105000,6654000,236000,0,35000,4000,70000,70000,2849000,4879000,7728000,25000000,125.6,126.5,91.22,117.6116,124.1366,121.55,114.9116,124.475,120.65
18.002,,5752000,1686000,1971000,2398000,838000,6647000,216000,0,35000,4000,70000,70000,2817000,5638000,8455000,25000000,125.6,126.5,91.22,117.6116,124.1366,121.55,114.9116,124.475,120.65
18.202,,5603000,1376000,1710000,2269000,105000,6647000,216000,0,35000,4000,70000,70000,2717000,4555000,7272000,25000000,125.6,126.5,91.22,117.6116,124.1366,121.55,114.9116,124.475,120.65
18.402,,5603000,2663000,1710000,1391000,105000,6647000,216000,0,35000,4000,70000,70000,2806000,6090000,8896000,25000000,125.6,126.5,91.22,117.6116,124.1366,121.55,114.9116,124.475,120.65
18.602,,5603000,1273000,2209000,1991000,105000,6601000,224000,0,8000,11000,68000,70000,2757000,4401000,7158000,25000000,125.6,126.5,91.22,117.6116,124.1366,121.55,115.025,124.3616,120.7616
18.803,,5710000,1318000,2043000,1673000,105000,6601000,224000,0,5000,4000,70000,70000,2885000,4275000,7160000,25000000,125.6,126.5,91.22,117.6116,124.1366,121.55,115.025,124.3616,120.7616
19.002,,5710000,1162000,2138000,1819000,105000,6601000,224000,0,8000,11000,70000,70000,2880000,3695000,6575000,25000000,125.6,126.5,91.22,117.6116,124.1366,121.55,115.025,124.3616,120.7616
19.203,,5646000,1251000,2066000,1431000,105000,6513000,236000,0,5000,11000,70000,70000,2938000,4938000,7876000,25000000,125.6,126.95,91.22,117.6116,124.1366,121.55,115.025,124.3616,120.7616
19.404,,5646000,2507000,1663000,1996000,105000,6513000,236000,0,5000,11000,70000,70000,2912000,11831000,14743000,25000000,125.6,126.95,91.22,117.6116,124.1366,121.55,115.025,124.3616,120.7616
19.602,,5646000,1296000,1995000,1713000,433000,6513000,236000,0,5000,7000,77000,70000,2993000,4351000,7344000,25000000,125.6,126.5,91.22,117.725,124.25,121.55,115.025,124.475,120.7616
19.802,,5633000,1753000,1948000,1606000,3521000,6515000,244000,0,5000,11000,77000,70000,2916000,4868000,7784000,25000000,125.6,126.95,91.22,117.725,124.25,121.55,115.025,124.475,120.7616
20.003,,5633000,1273000,2446000,1229000,1822000,6515000,244000,0,8000,11000,70000,70000,3078000,4452000,7530000,25000000,125.6,126.95,91.22,117.725,124.25,121.55,115.025,124.475,120.7616
20.203,,5633000,1273000,1971000,1434000,3500000,6519000,244000,0,5000,11000,70000,70000,2909000,7200000,10109000,25000000,125.6,127.4,91.22,117.725,124.25,121.55,115.025,124.475,120.7616
20.403,,5627000,2219000,1568000,1471000,105000,6519000,244000,0,5000,7000,70000,70000,2926000,6062000,8988000,25000000,125.6,127.4,91.22,117.725,124.25,121.55,115.025,124.475,120.7616
20.603,,5627000,1820000,1781000,1113000,3521000,6519000,244000,0,5000,11000,70000,70000,2869000,6209000,9078000,25000000,125.6,127.4,91.22,117.725,124.475,121.8866,115.025,124.7,120.9866
20.803,,5627000,1273000,1781000,1056000,105000,6252000,244000,0,5000,7000,70000,70000,2844000,7089000,9933000,25000000,125.6,127.4,91.22,117.725,124.475,121.8866,115.025,124.7,120.9866
21.003,,5578000,1820000,2161000,985000,3418000,6252000,205000,10000,648000,0,74000,70000,2846000,4433000,7279000,25000000,125.6,127.4,91.22,117.725,124.475,121.8866,115.025,124.7,120.9866
21.202,,5578000,1731000,1710000,985000,5972000,6252000,205000,0,35000,4000,70000,70000,2826000,8731000,11557000,25000000,125.6,127.85,91.22,117.725,124.475,121.8866,115.025,124.7,120.9866
21.402,,5578000,2308000,1615000,1520000,3860000,6342000,205000,0,35000,4000,70000,70000,3000000,8052000,11052000,25000000,125.6,127.85,91.22,117.725,124.475,121.8866,115.025,124.7,120.9866
21.602,,5527000,1620000,1568000,1734000,105000,6342000,221000,0,35000,4000,70000,70000,2946000,5672000,8618000,25000000,125.6,127.85,91.22,117.8366,124.7,122.1116,115.025,124.925,121.1
21.803,,5527000,1553000,1995000,921000,5850000,6342000,221000,0,8000,4000,70000,70000,2898000,10175000,13073000,25000000,125.6,127.85,91.22,117.8366,124.7,122.1116,115.025,124.925,121.1
