time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
15.002,,5511000,1154000,1362000,630000,105000,6110000,227000,0,5000,4000,68000,63000,2240000,6378000,8618000,25000000,113,109.4,80.6,106.3616,111.7616,109.9616,103.4366,112.1,109.175
15.203,,5511000,1065000,1315000,1320000,105000,6320000,227000,0,5000,11000,68000,63000,2211000,3573000,5784000,25000000,113,109.4,80.6,106.3616,111.7616,109.9616,103.4366,112.1,109.175
15.403,,5511000,1050000,1449000,1200000,105000,6320000,262000,10000,30000,4000,68000,63000,2210000,7591000,9801000,25000000,113,108.95,80.6,106.475,111.875,110.075,103.55,112.1,109.2866
15.602,,5450000,1065000,1449000,670000,105000,6320000,262000,0,30000,4000,68000,63000,2170000,3901000,6071000,25000000,113,108.95,80.6,106.475,111.875,110.075,103.55,112.1,109.2866
15.802,,5450000,1043000,1449000,670000,105000,6583000,262000,0,30000,4000,68000,63000,2159000,3563000,5722000,25000000,113,109.4,80.6,106.475,111.875,110.075,103.55,112.1,109.2866
16.002,,5450000,1028000,1378000,593000,105000,6583000,210000,0,30000,0,68000,63000,2175000,3455000,5630000,25000000,113,109.4,80.6,106.475,111.875,110.075,103.55,112.1,109.2866
16.202,,6033000,1132000,1639000,880000,105000,6583000,210000,0,5000,4000,68000,63000,2206000,4274000,6480000,25000000,113,109.4,80.6,106.475,111.875,110.075,103.55,112.1,109.2866
16.403,,6033000,1118000,1473000,751000,105000,7066000,210000,0,5000,11000,68000,63000,2188000,3598000,5786000,25000000,113,109.4,80.6,106.5866,111.9866,110.1866,103.6616,112.2116,109.4
16.602,,6292000,1021000,1900000,1040000,105000,7066000,196000,0,5000,4000,68000,63000,2203000,3794000,5997000,25000000,113,109.4,80.6,106.5866,111.9866,110.1866,103.6616,112.2116,109.4
16.803,,6292000,1132000,1267000,691000,105000,7066000,196000,0,5000,4000,68000,63000,2239000,4150000,6389000,25000000,113,109.4,80.6,106.5866,111.9866,110.1866,103.6616,112.2116,109.4
17.003,,6292000,1132000,1781000,670000,105000,7083000,221000,0,5000,7000,68000,63000,2193000,3942000,6135000,25000000,113,109.4,80.6,106.5866,111.9866,110.1866,103.6616,112.2116,109.4
17.202,,6298000,1251000,1324000,1068000,105000,7083000,221000,0,5000,11000,68000,63000,2217000,3978000,6195000,25000000,113,109.4,80.6,106.5866,111.9866,110.1866,103.6616,112.2116,109.4
17.402,,6298000,1140000,1306000,955000,3291000,7083000,221000,0,5000,4000,68000,63000,2185000,3652000,5837000,25000000,113,109.4,80.6,106.7,111.9866,110.3,103.775,112.2116,109.4
17.602,,6298000,1140000,1615000,706000,2330000,6975000,250000,0,5000,11000,68000,63000,2187000,7893000,10080000,25000000,113,109.4,80.6,106.7,111.9866,110.3,103.775,112.2116,109.4
17.803,,6158000,1073000,1196000,1060000,607000,6975000,250000,0,5000,11000,68000,63000,2170000,8959000,11129000,25000000,113,109.4,80.6,106.7,111.9866,110.3,103.775,112.2116,109.4
18.003,,6158000,1265000,1544000,665000,1706000,6760000,250000,0,5000,11000,68000,63000,2193000,9430000,11623000,25000000,113,108.95,80.6,106.7,111.9866,110.3,103.775,112.2116,109.4
18.203,,6158000,1154000,1339000,980000,105000,6760000,212000,0,5000,4000,68000,63000,2180000,3645000,5825000,25000000,113,109.4,80.6,106.7,111.9866,110.3,103.775,112.2116,109.4
18.403,,5957000,1309000,1330000,1097000,3291000,6760000,212000,0,5000,11000,68000,63000,2155000,3755000,5910000,25000000,113,109.4,80.6,106.7,112.1,110.3,103.775,112.325,109.5116
18.603,,5957000,1176000,1544000,1169000,4733000,6698000,212000,0,5000,7000,68000,63000,2141000,4036000,6177000,25000000,113,109.4,80.6,106.7,112.1,110.3,103.775,112.325,109.5116
18.802,,5957000,1207000,1449000,670000,105000,6698000,198000,0,5000,11000,68000,63000,2194000,3797000,5991000,25000000,113,109.4,80.6,106.7,112.1,110.3,103.775,112.325,109.5116
19.002,,5929000,1132000,1639000,1160000,2286000,6698000,198000,0,394000,7000,72000,63000,2210000,4276000,6486000,25000000,113,109.4,80.6,106.7,112.1,110.3,103.775,112.325,109.5116
